time,tip_x,tip_y,tip_z
0.002,0.0,0.0,0.65
0.004,-0.005173046272598661,0.0,0.6499072367012212
0.006,-0.013882891853073787,0.0,0.6493629962973043
0.008,-0.02503049412165934,0.0,0.6480356061867844
0.01,-0.037894064209501144,0.0,0.6457128263579671
0.012,-0.051961756464282374,0.0,0.6422943743327312
0.014,-0.06687094453478892,0.0,0.6377569898010989
0.016,-0.08236983432123127,0.0,0.632139633341172
0.018000000000000002,-0.0982916640009144,0.0,0.6254839871865687
0.020000000000000004,-0.11451242134901155,0.0,0.6178328656375804
0.022000000000000006,-0.13090693699442493,0.0,0.6091844078840929
0.024000000000000007,-0.14735917434647897,0.0,0.599585543298201
0.02600000000000001,-0.16381139967451624,0.0,0.5891287633781794
0.02800000000000001,-0.18020414909056126,0.0,0.5778360406339529
0.030000000000000013,-0.19641491444498058,0.0,0.5656776668364593
0.032000000000000015,-0.2124205788465513,0.0,0.5527545175766644
0.034000000000000016,-0.22816086473210742,0.0,0.5390851238475427
0.03600000000000002,-0.24357212986951113,0.0,0.5246924527977431
0.03800000000000002,-0.25858950704169004,0.0,0.5096041973495907
0.04000000000000002,-0.27314855319819414,0.0,0.4938528543448556
0.04200000000000002,-0.2871864134413674,0.0,0.477475614922467
0.044000000000000025,-0.3006429907686532,0.0,0.46051428156096647
0.04600000000000003,-0.313462283770175,0.0,0.4430150582670969
0.04800000000000003,-0.3255899389540747,0.0,0.4250277652194875
0.05000000000000003,-0.3369797929550538,0.0,0.4066066963914432
0.05200000000000003,-0.34759124557700183,0.0,0.38780880711491994
0.054000000000000034,-0.3573896523560819,0.0,0.3686932380966614
0.056000000000000036,-0.3663465346376438,0.0,0.34932077410995627
0.05800000000000004,-0.37443967889528884,0.0,0.3297532906515429
0.06000000000000004,-0.3816469078924294,0.0,0.31005532973492417
0.06200000000000004,-0.387958040946858,0.0,0.29029136195606575
0.06400000000000004,-0.39336766437469795,0.0,0.27052627007015134
0.06600000000000004,-0.39787829034901023,0.0,0.250823722402272
0.06800000000000005,-0.40149846761535024,0.0,0.23124601887924107
0.07000000000000005,-0.4042425194383495,0.0,0.2118536547009271
0.07200000000000005,-0.4061302558948603,0.0,0.19270490906584245
0.07400000000000005,-0.4071866572465378,0.0,0.17385545970496707
0.07600000000000005,-0.4074415281469626,0.0,0.1553580246821622
0.07800000000000006,-0.406929123363031,0.0,0.13726203355712988
0.08000000000000006,-0.40560591538334423,0.0,0.11971891779071203
0.08200000000000006,-0.4036204769472901,0.0,0.10266410622297034
0.08400000000000006,-0.40101507518225593,0.0,0.08613280667531578
0.08600000000000006,-0.3978346821134997,0.0,0.07015656454835581
0.08800000000000006,-0.3941265371494118,0.0,0.05476307916227885
0.09000000000000007,-0.38993969243409127,0.0,0.039976080683899906
0.09200000000000007,-0.38532454541119215,0.0,0.02581528067474073
0.09400000000000007,-0.3803323592349599,0.0,0.012296436054962112
0.09600000000000007,-0.37597825245593813,0.0,0.001705616086198014
0.09800000000000007,-0.3722749566316195,0.0,-0.006498047549880509
0.10000000000000007,-0.3691842550765802,0.0,-0.0127539175528745
0.10200000000000008,-0.36664266021321124,0.0,-0.017419687670368084
0.10400000000000008,-0.36457715687652303,0.0,-0.02078775264543109
0.10600000000000008,-0.362914442394461,0.0,-0.023098203288479724
0.10800000000000008,-0.36158602044734345,0.0,-0.024549015579478112
0.11000000000000008,-0.3605306944127914,0.0,-0.025304015883128778
0.11200000000000009,-0.3596954684480239,0.0,-0.0254991280235434
0.11400000000000009,-0.3590355096988774,0.0,-0.02524730895749816
0.11600000000000009,-0.358513590968652,0.0,-0.024642486538551528
0.11800000000000009,-0.3580992789385574,0.0,-0.023762735210547142
0.12000000000000009,-0.35776803161897597,0.0,-0.022672864812911475
0.1220000000000001,-0.3575003023676689,0.0,-0.021426552058443044
0.1240000000000001,-0.357280704806246,0.0,-0.02006811072079645
0.12600000000000008,-0.35709726550613874,0.0,-0.018633972274480215
0.12800000000000009,-0.35694077419109105,0.0,-0.0171539312422761
